"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/UI/DeleteMovieListAlert.js", "JavaScript", 116, 0, 0, 0, 0, 3, 119
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/UI/DeletionModal.js", "JavaScript", 97, 0, 0, 0, 1, 3, 101
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/UI/LoadingOverlay.js", "JavaScript", 19, 0, 0, 0, 0, 2, 21
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/UI/NoDataText.js", "JavaScript", 32, 0, 0, 0, 0, 3, 35
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/UI/RemoveButtonCustom.js", "JavaScript", 62, 0, 0, 0, 0, 3, 65
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/UI/SearchIcon.js", "JavaScript", 30, 0, 0, 0, 0, 3, 33
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/index.js", "JavaScript", 3, 0, 0, 0, 3, 3, 9
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/metro.config.js", "JavaScript", 4, 0, 0, 0, 1, 3, 8
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/package-lock.json", "JSON", 0, 12201, 0, 0, 0, 1, 12202
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/package.json", "JSON", 0, 38, 0, 0, 0, 1, 39
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/HomeScreen/NowPlayingMoviesScreen.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 7, 44
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/HomeScreen/PopularMoviesScreen.jsx", "JavaScript JSX", 0, 0, 44, 0, 1, 8, 53
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/HomeScreen/SearchScreen.jsx", "JavaScript JSX", 0, 0, 127, 0, 0, 12, 139
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/HomeScreen/TopRatedMoviesScreen.jsx", "JavaScript JSX", 0, 0, 37, 0, 1, 8, 46
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/HomeScreen/UpcomingMoviesScreen.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 7, 44
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/ListsScreen/ListsScreen.jsx", "JavaScript JSX", 0, 0, 115, 0, 17, 11, 143
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/ListsScreen/SearchCustomListMovie.jsx", "JavaScript JSX", 0, 0, 130, 0, 1, 12, 143
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/LoginScreen/SignInScreen.jsx", "JavaScript JSX", 0, 0, 232, 0, 2, 14, 248
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/MovieDetailsScreen.jsx", "JavaScript JSX", 0, 0, 152, 0, 6, 14, 172
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/MoviesScreen/DroppedList.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 5, 24
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/MoviesScreen/FinishedList.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 4, 22
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/MoviesScreen/MoviesScreen.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 3, 19
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/MoviesScreen/OnHoldList.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 4, 23
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/MoviesScreen/PlantToWatchList.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 5, 22
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/ProfileScreen/AchievementsScreen.jsx", "JavaScript JSX", 0, 0, 108, 0, 0, 6, 114
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/ProfileScreen/FavoritesScreen.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 4, 64
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/ProfileScreen/ProfileScreen.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 8, 91
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/store/customLists-context.js", "JavaScript", 112, 0, 0, 0, 9, 15, 136
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/store/favorite-context.js", "JavaScript", 85, 0, 0, 0, 9, 15, 109
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/store/movies-context.js", "JavaScript", 376, 0, 0, 0, 24, 27, 427
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/store/userDetails-context.js", "JavaScript", 104, 0, 0, 0, 11, 22, 137
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/utils/date.js", "JavaScript", 3, 0, 0, 0, 0, 1, 4
"Total", "-", 2906, 12268, 3930, 25, 137, 528, 19794
