"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/App.js", "JavaScript", 9, 0, 0, 0, 9
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/GenresStat.js", "JavaScript", 195, 0, 8, 17, 220
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/components/ProfileComponents/SimpleStat.js", "JavaScript", 59, 0, 0, 3, 62
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/ProfileScreen/AchievementsScreen.jsx", "JavaScript JSX", 0, 108, 0, 6, 114
"/Users/alinavram/Desktop/proiectele mele/TheMovieDrawer/screens/ProfileScreen/ProfileScreen.jsx", "JavaScript JSX", 0, 7, 0, 1, 8
"Total", "-", 263, 115, 8, 27, 413
